,date,speechnumber,speaker,origin_pty,speech_terms,neg_emo,pos_emo,meta_beratung,meta_beschlem,meta_bericht_,meta_fragstun,meta_befragun,meta_aktustnd,meta_regerklr,meta_antwort_,meta_wahl____,meta_eidleist,fctn_afd,fctn_b90,fctn_cxu,fctn_fdp,fctn_lnk,fctn_spd,govt
45,10/11/2009,49,Wolfgang Gehrcke,lnk,984,25,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
46,10/11/2009,51,Omid Nouripour,b90,752,7,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
47,10/11/2009,53,Elke Hoff,fdp,1471,9,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
48,10/11/2009,55,Elke Hoff,fdp,34,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
49,10/11/2009,57,Rainer Arnold,spd,969,20,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
50,10/11/2009,59,Christian Ruck,cxu,1201,9,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
51,10/11/2009,61,Heike Hï¿½ï¿½,lnk,988,21,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
52,10/11/2009,63,Ute Koczy,b90,570,7,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
53,10/11/2009,65,Axel Schï¿½ï¿,spd,721,6,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
54,10/11/2009,67,Michael Stï¿½ï¿½,cxu,981,9,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
55,10/11/2009,69,Kerstin Mï¿½ï¿½,b90,792,10,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
56,10/11/2009,71,Rolf Mï¿½ï¿½tze,spd,729,7,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
57,10/11/2009,73,Erika Steinbach,cxu,734,12,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
58,10/11/2009,75,Erika Steinbach,cxu,189,6,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
59,10/11/2009,77,Sascha Raabe,spd,838,15,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60,10/11/2009,79,Christoph Strï¿½ï¿½,spd,961,8,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
61,10/11/2009,81,Ilse Aigner,cxu,1194,6,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
62,10/11/2009,83,Waltraud Wolff,spd,839,8,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
63,10/11/2009,85,Hans-Michael Goldmann,fdp,913,5,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
